product_id,review_id,word_count,character_count,average_word_length,sentence_count,uppercase_ratio,exclamation_count,question_count,punctuation_ratio,lexical_diversity,repeated_word_ratio,promotional_phrase_count,review_length,rating,review_count,average_rating,rating_variance,average_review_length,max_similarity,mean_similarity,similar_pair_ratio,rating_deviation,label
B07JW9H4J1,"R3HXWT0LRP0NMF,R2AJM3LFTLZHFO,R6AQJGUP6P86,R1KD19VHEDV0OR,R3C02RMYQMK6FC,R39GQRVBUZBWGY,R2K9EDOE15QIRJ,R3OI7YT648TL8I",103,608,4.766990291262136,11,0.07337526205450734,0,0,0.0756578947368421,0.6407766990291263,0.3592233009708738,0,608,4.2,3,4.2,0.0,600.0,0.9840618182867974,0.9838992087161649,1.0,0.0,0
B098NS6PVG,"RGIQEG07R9HS2,R1SMWZQ86XIN8U,R2J3Y1WL29GWDE,RYGGS0M09S3KY,R17KQRUTAN5DKS,R3AAQGS6HP2QUK,R1HDNOG6TO2CCA,R3PHKXYA5AFEOU",254,1368,4.322834645669292,13,0.04044117647058824,0,0,0.03070175438596491,0.515748031496063,0.484251968503937,0,1368,4.0,3,4.0,0.0,1368.0,1.0000000000000009,1.0000000000000009,1.0,0.0,0
B096MSW6CT,"R3J3EQQ9TZI5ZJ,R3E7WBGK7ID0KV,RWU79XKQ6I1QF,R25X4TBMPY91LX,R27OK7G99VK0TR,R207CYDCHJJTCJ,R3PCU8XMU173BT,R1IMONDOWRNU5V",72,409,4.638888888888889,9,0.13071895424836602,0,0,0.12224938875305623,0.5138888888888888,0.4861111111111111,0,409,3.9,3,3.9,0.0,393.0,0.9999999999999999,0.9635607041565426,1.0,0.0,0
B08HDJ86NZ,"R3EEUZKKK9J36I,R3HJVYCLYOY554,REDECAZ7AMPQC,R1CLH2ULIVG5U3,R2DMKIBGFKBD6R,RC89B5IAJUTR5,R3B3DDON5FH8DS,R13WAEJDI5RS36",112,584,4.196428571428571,4,0.038876889848812095,0,0,0.03424657534246575,0.6696428571428571,0.33035714285714285,0,584,4.2,3,4.2,0.0,584.0,0.9999999999999967,0.9999999999999968,1.0,0.0,0
B08CF3B7N1,"R1BP4L2HH9TFUP,R16PVJEXKV6QZS,R2UPDB81N66T4P,R3KK4GT934ST3I,RCFHMWUSBIJO,RDO7DACXMAJ84,R3A6MEZL3LY66Z,R1ESIEKPGAYA29",472,2590,4.364406779661017,15,0.04675196850393701,1,0,0.03552123552123552,0.4745762711864407,0.5254237288135594,1,2590,4.2,3,4.2,0.0,2590.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0
B08Y1TFSP6,"R7S8ANNSDPR40,R3CLZFLHVJU26P,RFF7U7MPQFUGR,R1MV1NKC23DWPI,R11D3U0V2XKDKF,R18MP1KLUE18PC,RWGJNVEH5ZQME,R1XN72FU6Q37IH",80,449,4.525,7,0.08022922636103152,0,0,0.07349665924276169,0.575,0.425,0,449,3.9,3,3.9,0.0,449.0,1.0,1.0,1.0,0.0,0
B08WRWPM22,"R8E73K2KWJRDS,RSD0JTIIWQQL8,R64CRSTE9SLW1,R2FRTNIIUFJE1F,RWGNX3W7UOJ7W,R32TYHHODHTF5D,RQL9ZMQUTY7P2,R280XJ5VZUBOXV",185,734,2.5837837837837836,5,0.03017241379310345,0,0,0.03678474114441417,0.5621621621621622,0.43783783783783786,0,734,4.1,3,4.1,0.0,734.0,1.0,1.0,1.0,0.0,0
B08DDRGWTJ,"R2X090D1YHACKR,R32ZCIH9AFNJ60,R3N57EVVG0EHAF,R3QWLE8JHROKC1,R2VTSDOOUTSQ5X,R3E6FZ75Q074KH,R1SYBQLTPFCW20,RYQT96J8HPIXE",181,988,4.298342541436464,22,0.05665349143610013,0,0,0.043522267206477734,0.5027624309392266,0.4972375690607735,0,988,4.3,3,4.3,0.0,988.0,1.0000000000000002,1.0000000000000002,1.0,0.0,0
B008IFXQFU,"R1LW6NWSVTVZ2H,R3VR5WFKUS15C5,R2F6GC79OYWUKQ,R3QZ19MECGWG9A,R2MPU42MYK7GPO,R33DVXFB4VYPZZ,R1SQ7OGFR4JRUR,R1S5F9QI0M1VBZ",749,4269,4.493991989319092,40,0.04505857614899369,0,0,0.03279456547200749,0.4606141522029373,0.5393858477970628,0,4269,4.2,1,4.2,0.0,4269.0,0.0,0.0,0.0,0.0,0
B082LZGK39,"RGIQEG07R9HS2,R1SMWZQ86XIN8U,R2J3Y1WL29GWDE,RYGGS0M09S3KY,R17KQRUTAN5DKS,R3AAQGS6HP2QUK,R1HDNOG6TO2CCA,R3PHKXYA5AFEOU",254,1368,4.322834645669292,13,0.04044117647058824,0,0,0.03070175438596491,0.515748031496063,0.484251968503937,0,1368,4.0,2,4.0,0.0,1368.0,1.0000000000000009,1.0000000000000009,1.0,0.0,0
